"SCI_Name_updated","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial","PelagicSpecialist","Nocturnal"
"Euphagus cyanocephalus",22.6,14.4,5.8,7.5,31,126.4,39.1,86.2,31.2,100.6,62.5,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
"Falco columbarius",16.6,11.8,8,10.5,34.3,199.6,98.8,103.5,48.9,116.6,188.5,20,80,0,0,0,0,0,0,0,0,0,0,0,33,33,0,33,0,0
"Falco mexicanus",31.1,20,13.8,16.5,55.6,325,166,163.2,50.5,188.4,713.1,0,100,0,0,0,0,0,0,0,0,0,0,70,20,10,0,0,0,0
"Falco sparverius",17.1,11,8.4,10.1,33.7,182.4,77.9,100.1,43.7,126.5,114.6,60,20,20,0,0,0,0,0,0,0,0,0,50,40,10,0,0,0,0
"Fulica americana",37.3,14.8,5.9,10.7,54.8,183.1,65.8,115.7,36.3,50.6,636.7,20,0,0,0,0,0,0,0,40,40,50,50,0,0,0,0,0,0,0
"Gallinago delicata",66.9,57.7,4.6,6.6,29.4,128.4,59.5,68.5,46.5,55,112.9,80,0,0,80,0,0,0,0,0,10,0,20,80,0,0,0,0,0,0
"Gallinula galeata",31.4,15.8,5.4,9.8,51.1,176.1,57.9,120.5,32.4,74.9,339.6,20,0,10,20,10,0,0,20,0,20,0,20,60,20,0,0,0,0,0
"Gavia immer",97,60.1,10.5,23,86.1,365.2,178,183.2,49.3,59,4956.8,10,0,0,70,0,0,0,0,0,20,0,100,0,0,0,0,0,0,0
"Gavia pacifica",71.9,41.1,8.3,12.9,72.8,291.2,139,151.5,47.9,48.4,2251.1,20,0,0,70,0,0,0,0,0,10,0,100,0,0,0,0,0,0,0
"Gavia stellata",63.1,37.4,7.5,12.2,66.1,275.4,130.7,143.8,47.6,45.6,1486,10,0,0,90,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"Geococcyx californianus",57.8,35.4,10.1,12.5,59.5,181,12,172,6.5,287.4,376,30,30,20,0,0,10,10,0,0,0,0,0,100,0,0,0,0,0,0
"Geothlypis trichas",12.7,7.9,3,3.3,20.2,54.7,8.5,44.3,16.1,49.4,9.5,100,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0
"Glaucidium gnoma",13.3,9,6.2,9.3,18.2,89.4,20.9,68.5,23.3,63.5,61.3,60,30,10,0,0,0,0,0,0,0,0,0,90,10,0,0,0,0,1
"Antigone canadensis",122.9,67.4,10.2,15.9,216.2,477.8,210,270,43.8,175.4,10.2,20,20,0,0,0,0,20,0,10,30,0,50,50,0,0,0,0,0,0
"Gymnorhinus cyanocephalus",37.9,23.8,8.3,8.8,37.7,147.8,39.2,107.8,26.6,106.2,104.8,30,0,30,0,0,0,0,0,40,0,0,0,20,20,30,30,0,0,0
"Haemorhous cassinii",14,10.3,7.4,8.9,17.5,90.2,25.6,63.5,28.8,61.5,26.5,20,0,0,20,0,0,0,0,0,40,0,0,60,0,0,40,0,0,0
"Haemorhous mexicanus",10.6,8.4,6.6,8.2,17.4,77.2,21.2,55.8,27.5,66.2,21.4,50,0,0,50,0,0,0,50,0,0,0,0,80,20,0,0,0,0,0
"Haemorhous purpureus",12.2,9.1,7.5,9,16.6,81.1,22.8,58.2,28.1,59.5,23.3,10,0,0,10,0,0,0,10,20,20,0,0,33,33,33,0,0,0,0
"Haliaeetus leucocephalus",76,48.2,24,34.1,81.7,601.8,248.8,353,41.4,294,4700.6,0,30,20,30,0,20,0,0,0,0,0,40,30,0,10,10,10,0,0
"Himantopus mexicanus",66.6,50.1,4.5,4.7,106.7,223.7,117.5,109.1,51.9,73.6,176.8,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"Hirundo rustica",12.4,6,4.5,2.7,11.7,115.8,62.3,56,52.6,70.4,17.9,80,0,0,0,0,0,10,0,10,0,0,0,30,30,40,0,0,0,0
"Histrionicus histrionicus",27.3,16.9,12.7,10.5,33,194,95,95,50,87.5,561.6,100,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,0,0,0
"Icteria virens",16.3,10.5,4.8,6.3,26.1,76.5,16.3,60.5,21.3,71.8,24.9,80,0,0,0,0,0,20,0,0,0,0,0,0,100,0,0,0,0,0
